Result,Reason,Name,SID,TCID,SUCCESS,IMPACT,ParameterSet,ego_vx(t0),obst_vx(t0),rel_vx(t0),ego_ax(t0),obst_ax(t0),rel_ax(t0),dx(t0),time_of_acceleration_change,t(WP1),dt(WP1),ego_vx(WP1),obst_vx(WP1),rel_vx(WP1),ego_ax(WP1),obst_ax(WP1),rel_ax(WP1),dx(WP1),t(WP2),ttc(WP2),ego_vx(WP2),obst_vx(WP2),rel_vx(WP2),ego_ax(WP2),obst_ax(WP2),rel_ax(WP2),dx(WP2),t(EBP),ttc(EBP),ego_vx(EBP),obst_vx(EBP),rel_vx(EBP),ego_ax(EBP),obst_ax(EBP),rel_ax(EBP),dx(EBP),t(avoid),ego_vx(avoid),obst_vx(avoid),rel_vx(avoid),ego_ax(avoid),obst_ax(avoid),rel_ax(avoid),dx(avoid),t(EBP)-t(WP1),t(EBP)-t(WP2),v(WP1)-v(EBP),v(WP1)-v(avoid),Version_Major,Version_Minor,time_of_execution,coll_in_casc,t_warn_st_diff,t_warn_st_from_acc,obst_stopped_in_casc,t_part_st_diff,t_warn_dura
PASSED,-,tc_AEBS_DEV_dtChar2_ev50rv0ra0d32aOffnra_26NP,0,14,1,0,DEVELOPER.DPV,50.000,50.000,0.000,0.000,0.000,0.000,32.000,4.004,6.326,2.080,50.006,28.800,-21.206,0.000,-2.600,-2.600,24.930,7.167,2.400,50.006,21.122,-28.884,0.000,-2.600,-2.600,18.992,7.968,1.500,42.863,13.753,-29.109,-3.499,-2.600,0.900,12.227,10.050,0.000,0.000,0.000,-6.498,-2.599,3.899,2.477,1.642,0.801,7.144,50.006,5,0,Thu Feb 26 16:12:52 2015,BOTH_PASSED,-0.15999999999999925,2.322,STOPPED,0.0,0.8410000000000002
PASSED,-,tc_AEBS_DEV_dtChar2_ev50rv0ra0d32aOffnra_12NP,0,15,1,0,DEVELOPER.DPV,50.000,50.000,0.000,0.000,0.000,0.000,32.000,4.004,8.769,0.960,50.006,29.925,-20.081,0.000,-1.200,-1.200,18.234,9.810,1.750,50.006,25.538,-24.469,0.000,-1.200,-1.200,11.688,10.610,1.100,42.891,22.134,-20.756,-3.499,-1.200,2.299,6.344,11.892,16.130,16.650,0.520,-6.495,-1.200,5.295,2.477,1.842,0.801,7.116,33.877,5,0,Thu Feb 26 16:12:52 2015,BOTH_PASSED,0.03999999999999915,4.765000000000001,NOT_STOPPED,0.0,1.0410000000000004
PASSED,Impact after successful cascade,tc_AEBS_DEV_dtChar2_ev50rv0ra0d32aOffnra_1NP,0,16,1,1,DEVELOPER.DPV,50.000,50.000,0.000,0.000,0.000,0.000,32.000,4.004,10.010,0.000,50.006,28.913,-21.094,0.000,-1.000,-1.000,13.836,10.811,1.350,50.006,26.100,-23.906,0.000,-1.000,-1.000,8.758,11.611,0.650,42.834,23.259,-19.575,-3.499,-1.000,2.500,3.594,12.652,18.872,19.575,0.703,-2.871,-1.000,1.871,0.773,1.602,0.801,7.172,31.134,5,0,Thu Feb 26 16:12:52 2015,BOTH_PASSED,0.0,6.006,NOT_STOPPED,0.0,0.8010000000000002
PASSED,Impact after successful cascade,tc_AEBS_DEV_dtChar2_ev50rv0ra0d32aOffnra_16NP,0,17,1,1,DEVELOPER.DPV,50.000,50.000,0.000,0.000,0.000,0.000,32.000,4.004,7.728,1.280,50.006,29.081,-20.925,0.000,-1.600,-1.600,20.797,8.729,1.950,50.006,23.456,-26.550,0.000,-1.600,-1.600,14.094,9.529,1.200,42.891,18.928,-23.963,-3.499,-1.600,1.899,8.148,11.171,9.070,9.464,0.394,-2.867,-1.600,1.268,2.477,1.802,0.801,7.116,40.936,5,0,Thu Feb 26 16:12:52 2015,BOTH_PASSED,0.0,3.724,NOT_STOPPED,0.0,1.0009999999999994
PASSED,End of cascade too late,tc_AEBS_DEV_dtChar2_ev50rv0ra0d32aOffnra_18NP,0,18,1,0,DEVELOPER.DPV,50.000,50.000,0.000,0.000,0.000,0.000,32.000,4.004,7.367,1.440,50.006,28.744,-21.262,0.000,-1.800,-1.799,21.727,8.328,2.050,50.006,22.669,-27.338,0.000,-1.800,-1.799,15.148,9.129,1.250,42.891,17.578,-25.313,-3.499,-1.800,1.700,8.969,10.891,5.808,6.216,0.408,-6.496,-1.799,4.697,2.492,1.762,0.801,7.116,44.198,5,0,Thu Feb 26 16:12:52 2015,BOTH_PASSED,-0.040000000000000036,3.3630000000000004,NOT_STOPPED,0.0,0.9609999999999994
PASSED,-,tc_AEBS_DEV_dtChar2_ev50rv0ra0d32aOffnra_28NP,0,19,1,0,DEVELOPER.DPV,50.000,50.000,0.000,0.000,0.000,0.000,32.000,4.004,6.126,2.240,50.006,29.137,-20.869,0.000,-2.800,-2.799,25.641,6.967,2.500,50.006,20.869,-29.137,0.000,-2.800,-2.799,19.711,7.768,1.550,42.877,12.938,-29.939,-3.499,-2.800,0.700,12.813,9.850,0.000,0.000,0.000,-6.498,-2.799,3.699,2.469,1.642,0.801,7.130,50.006,5,0,Thu Feb 26 16:12:52 2015,BOTH_PASSED,-0.16000000000000014,2.1220000000000008,STOPPED,0.0,0.8409999999999993
PASSED,-,tc_AEBS_DEV_dtChar2_ev50rv0ra0d32aOffnra_24NP,0,20,1,0,DEVELOPER.DPV,50.000,50.000,0.000,0.000,0.000,0.000,32.000,4.004,6.526,1.920,50.006,28.744,-21.262,0.000,-2.400,-2.399,24.289,7.407,2.300,50.006,21.319,-28.688,0.000,-2.400,-2.399,18.094,8.208,1.450,42.877,14.513,-28.364,-3.499,-2.400,1.100,11.406,10.250,0.000,0.000,0.000,-6.498,-2.399,4.099,2.492,1.682,0.801,7.130,50.006,5,0,Thu Feb 26 16:12:52 2015,BOTH_PASSED,-0.16000000000000014,2.5220000000000002,STOPPED,0.0,0.8810000000000002
PASSED,-,tc_AEBS_DEV_dtChar2_ev50rv0ra0d32aOffnra_22NP,0,21,1,0,DEVELOPER.DPV,50.000,50.000,0.000,0.000,0.000,0.000,32.000,4.004,6.767,1.760,50.006,28.659,-21.347,0.000,-2.200,-2.200,23.531,7.647,2.250,50.006,21.853,-28.153,0.000,-2.200,-2.200,17.391,8.448,1.450,42.891,15.623,-27.267,-3.499,-2.200,1.300,10.891,10.530,0.000,0.000,0.000,-6.499,-2.199,4.299,2.563,1.682,0.801,7.116,50.006,5,0,Thu Feb 26 16:12:52 2015,BOTH_PASSED,-0.12100000000000044,2.763000000000001,STOPPED,0.0,0.8799999999999999
PASSED,-,tc_AEBS_DEV_dtChar2_ev50rv0ra0d32aOffnra_2NP,0,22,1,0,DEVELOPER.DPV,50.000,50.000,0.000,0.000,0.000,0.000,32.000,4.004,7.047,1.600,50.006,28.631,-21.375,0.000,-2.000,-2.000,22.617,7.968,2.150,50.006,22.163,-27.844,0.000,-2.000,-2.000,16.219,8.769,1.350,42.891,16.495,-26.395,-3.499,-2.000,1.500,9.859,10.690,2.573,2.756,0.183,-6.492,-1.999,4.493,2.477,1.722,0.801,7.116,47.433,5,0,Thu Feb 26 16:12:52 2015,BOTH_PASSED,-0.08000000000000007,3.043,NOT_STOPPED,0.0,0.9210000000000003
PASSED,-,tc_AEBS_DEV_dtChar2_ev50rv0ra0d32aOffnra_08NP,0,23,1,0,DEVELOPER.DPV,50.000,50.000,0.000,0.000,0.000,0.000,32.000,4.004,10.931,0.000,50.006,30.544,-19.463,0.000,-0.800,-0.799,12.586,11.731,1.350,50.006,28.294,-21.713,0.000,-0.800,-0.799,7.930,12.532,0.700,42.834,26.016,-16.819,-3.499,-0.800,2.700,3.313,13.413,22.641,23.512,0.872,-2.871,-0.799,2.071,1.281,1.602,0.801,7.172,27.366,5,0,Thu Feb 26 16:12:52 2015,BOTH_PASSED,0.0,6.927,NOT_STOPPED,0.0,0.8000000000000007
