velocity_kmh;d_warn_m;d_pb_m;d_eb_m;dx_secure_m
0;999;999;999;2.5
1;999;999;999;2.5
2;999;999;999;2.5
3;999;999;999;2.5
4;999;999;999;2.5
5;999;999;999;2.5
6;999;999;999;2.5
7;999;999;999;2.5
8;999;999;999;2.5
9;999;999;999;2.5
10;999;999;999;2.5
11;7.02028035;4.881391461;2.791322016;2.5
12;7.540856481;5.207523148;2.895231481;2.5
13;8.074292695;5.546514918;3.012001029;2.5
14;8.620588992;5.89836677;3.141630658;2.5
15;9.17974537;6.263078704;3.28412037;2.5
16;9.751761831;6.64065072;3.439470165;2.5
17;10.33663837;7.031082819;3.607680041;2.5
18;10.934375;7.434375;3.78875;2.5
19;11.54497171;7.850527263;3.982680041;2.5
20;12.1684285;8.279539609;4.189470165;2.5
21;12.80474537;8.721412037;4.40912037;2.5
22;13.45392233;9.176144547;4.641630658;2.5
23;14.11595936;9.64373714;4.887001029;2.5
24;14.79085648;10.12418981;5.145231481;2.5
25;15.47861368;10.61750257;5.416322016;2.5
26;16.17923097;11.12367541;5.700272634;2.5
27;16.89270833;11.64270833;5.997083333;2.5
28;17.61904578;12.17460134;6.306754115;2.5
29;18.35824331;12.71935442;6.629284979;2.5
30;19.11030093;13.27696759;6.964675926;2.5
31;19.87521862;13.84744084;7.312926955;2.5
32;20.6529964;14.43077418;7.674038066;2.5
33;21.44363426;15.02696759;8.048009259;2.5
34;22.2471322;15.63602109;8.434840535;2.5
35;23.06349023;16.25793467;8.834531893;2.5
36;23.89270833;16.89270833;9.247083333;2.5
37;24.73478652;17.54034208;9.672494856;2.5
38;25.58972479;18.20083591;10.11076646;2.5
39;26.45752315;18.87418981;10.56189815;2.5
40;27.33818158;19.56040381;11.02588992;2.5
41;28.2317001;20.25947788;11.50274177;2.5
42;29.1380787;20.97141204;11.9924537;2.5
43;30.05731739;21.69620628;12.49502572;2.5
44;30.98941615;22.4338606;13.01045782;2.5
45;31.934375;23.184375;13.53875;2.5
46;32.89219393;23.94774949;14.07990226;2.5
47;33.86287294;24.72398405;14.63391461;2.5
48;34.84641204;25.5130787;15.20078704;2.5
49;35.84281121;26.31503344;15.78051955;2.5
50;36.85207047;27.12984825;16.37311214;2.5
51;37.87418981;27.95752315;16.97856481;2.5
52;38.90916924;28.79805813;17.59687757;2.5
53;39.95700874;29.65145319;18.22805041;2.5
54;41.01770833;30.51770833;18.87208333;2.5
55;42.091268;31.39682356;19.52897634;2.5
56;43.17768776;32.28879887;20.19872942;2.5
57;44.27696759;33.19363426;20.88134259;2.5
58;45.38910751;34.11132973;21.57681584;2.5
59;46.51410751;35.04188529;22.28514918;2.5
60;47.65196759;35.98530093;23.00634259;2.5
61;48.80268776;36.94157665;23.74039609;2.5
62;49.966268;37.91071245;24.48730967;2.5
63;51.14270833;38.89270833;25.24708333;2.5
64;52.33200874;39.8875643;26.01971708;2.5
65;53.53416924;40.89528035;26.80521091;2.5
66;54.74918981;41.91585648;27.60356481;2.5
67;55.97707047;42.9492927;28.41477881;2.5
68;57.21781121;43.99558899;29.23885288;2.5
69;58.47141204;45.05474537;30.07578704;2.5
70;59.73787294;46.12676183;30.92558128;2.5
71;61.01719393;47.21163837;31.7882356;2.5
72;62.309375;48.309375;32.66375;2.5
73;63.61441615;49.41997171;33.55212449;2.5
74;64.93231739;50.5434285;34.45335905;2.5
75;66.2630787;51.67974537;35.3674537;2.5
76;67.6067001;52.82892233;36.29440844;2.5
77;68.96318158;53.99095936;37.23422325;2.5
78;70.33252315;55.16585648;38.18689815;2.5
79;71.71472479;56.35361368;39.15243313;2.5
80;73.10978652;57.55423097;40.13082819;2.5
81;74.29486707;58.54486707;40.89924207;2.5
82;75.21258312;59.26813868;41.40029146;2.5
83;76.13029324;59.99140435;41.90133491;2.5
84;77.04799763;60.7146643;42.40237263;2.5
85;77.96569651;61.43791873;42.90340484;2.5
86;78.88339005;62.16116783;43.40443172;2.5
87;79.80107845;62.88441178;43.90545345;2.5
88;80.71876187;63.60765076;44.40647021;2.5
89;81.6364405;64.33088494;44.90748217;2.5
90;82.55411448;65.05411448;45.40848948;2.5
91;83.47178398;65.77733953;45.90949231;2.5
92;84.38944913;66.50056024;46.4104908;2.5
93;85.30711008;67.22377675;46.91148508;2.5
94;86.22476696;67.94698918;47.4124753;2.5
95;87.1424199;68.67019768;47.91346157;2.5
96;88.06006903;69.39340236;48.41444403;2.5
97;88.97771446;70.11660335;48.91542279;2.5
98;89.8953563;70.83980074;49.41639797;2.5
99;90.81299466;71.56299466;49.91736966;2.5
100;91.73062966;72.28618521;50.41833799;2.5
101;92.64826138;73.00937249;50.91930305;2.5
102;93.56588993;73.73255659;51.42026493;2.5
103;94.48351539;74.45573761;51.92122372;2.5
104;95.40113786;75.17891563;52.42217952;2.5
105;96.31875742;75.90209075;52.92313242;2.5
106;97.23637415;76.62526304;53.42408248;2.5
107;98.15398814;77.34843258;53.9250298;2.5
108;99.07159945;78.07159945;54.42597445;2.5
109;99.98920817;78.79476373;54.92691651;2.5
110;100.9068144;79.51792548;55.42785603;2.5
